,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,Sedv[L],Season
7092,92740310948.87636,18203251049.690094,30753.193403284364,2032403.072449498,543348580.8215595,55110.57505426798,2712286671448.3994,1882838.1823735891,2160509.150637237,10081.109006045233,3723402901.128033,10201.892531476242,47272258064.51613,4841074086021.503,3329032258.064516,82670967741.93549,2000-06-02,1664516129.032272,spring
7093,92177112126.51463,0.0,33543.89313624059,2451377.470594204,560828942.9184363,47954.134164938456,2712289375101.8647,1870068.6733607214,2159302.8827313865,10995.91963537222,3723103465.8148236,10201.103838706942,47605161290.32258,4846585483870.968,3329032258.064516,82670967741.93549,2000-06-03,1664516129.032272,spring
7094,91496094484.72342,0.0,44127.438453813025,2563551.798002246,678577375.8265656,79158.39489821976,2712292161959.2134,1870092.4179817424,2158091.0850987746,14465.278820863268,3722805266.8642387,10200.283467985819,48218404074.70293,4885745415959.252,3329032258.064516,82670967741.93549,2000-06-04,1664516129.032272,spring
7095,90784240931.99448,0.0,49932.39808452188,2674401.884366673,709245846.2719735,16763.02931285863,2712295132336.6123,1870094.339487923,2166464.6985616856,16368.18464418561,3722498697.0386806,10199.46648455956,55892699490.66205,4826679185059.419,3329032258.064516,82670967741.93549,2000-06-05,1664516129.032272,spring
7096,29395284752.88048,-60522827287.99632,65517.98445141926,2814840.2873637923,863418581.8136251,39012.998866525115,2772821061732.6665,1870096.3875290737,2174899.9097671495,21477.24740158514,3722183694.889875,10198.626567229263,16481629881.154476,5097328777589.13,1109677419.3548386,84890322580.64516,2000-06-06,1664516129.032272,spring
7097,100920550306.34778,72492053901.50763,80301.71694013823,1628473.227040966,965278908.5158615,38731.98561119461,2700330894512.233,1912768.0486947943,2183384.4248326267,26323.45692462841,3721902880.7501893,10197.763547643493,50058132427.84378,5003225212224.112,3329032258.064516,82670967741.93549,2000-06-07,1664516129.032272,spring
7098,83095888021.59564,-16820091717.724627,77248.80303766613,3312955.9008170725,1001605298.5894961,270438.65975358564,2717154384170.9526,1861868.9670507105,2191970.0301056476,25322.690681159038,3721562582.69294,10196.994193836135,42226146010.18677,5076774193548.387,2774193548.387097,83225806451.6129,2000-06-08,1664516129.032272,spring
7099,82178490201.16936,0.0,75471.66065915603,3192807.5470578168,914320949.8202332,40465.280344586725,2717157888154.886,1873687.9201357064,2200589.4557619384,24740.13114654142,3721225485.0954432,10196.061870391619,42737181663.836914,5118387096774.193,2774193548.387097,83225806451.6129,2000-06-09,1664516129.032272,spring
7100,31956032578.909252,-49307094120.70162,80269.16014952768,3321319.5506593366,912136174.7416368,13723.573657693054,2766468651774.3394,1873690.3364034044,2209280.3260218254,26312.784584012337,3720879699.9675097,10195.138315329983,17299286926.994877,5263200000000.0,1109677419.3548386,84890322580.64516,2000-06-10,1664516129.032272,spring
7101,31118870617.84903,0.0,79502.67468657035,2107330.8981283703,835211771.736291,77638.8995106462,2766471017155.975,1908408.3108183215,2218036.4226154373,26061.525360220745,3720559877.6647534,10194.190958815097,17503701188.45499,5305645161290.322,1109677419.3548386,84890322580.64516,2000-06-11,1664516129.032272,spring
