,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,PLoad,Season
5205,1604898471998.698,0.0,60087806797.3799,924156277.5423536,444774757872.31006,0.0,2222683635716.8,262171658.08479425,354626707.9715083,60087806797.3799,5.026109344296206e+16,13770166131.897797,1043466666666.6656,4197909677419.357,36064516129.03226,49935483870.96774,1995-04-03,174008807319.25168,spring
5206,1604579446900.685,0.0,87004403659.62584,925002342.4188931,640817975370.1273,0.0,2222468260805.946,262151131.0294288,358046395.1061002,87004403659.62584,5.026108050190656e+16,13770162587.112896,1056690322580.6451,4196661290322.58,36064516129.03226,49935483870.96774,1995-04-04,207724665120.3109,spring
5207,73420192343.45357,-1835072507682429.0,103862332560.15546,925345827.0566587,761111965507.0978,0.0,3752995522482.343,262139790.95437792,359629084.90159035,103862332560.15546,5.026106663425822e+16,13770159041.618237,46606451612.90323,7134781935483.87,1664516129.032258,84335483870.96774,1995-04-05,249086185993.7888,spring
5208,270211556909.7652,236834061324919.12,249086185993.7888,2170999532.2364798,901478584107.6608,19620292319.345364,3555454231222.135,8058182.059850957,361379852.4886681,0.0,5.026105251078131e+16,13770155242.262527,170076559139.78516,6764593548387.1,6103225806.451613,79896774193.54839,1995-04-06,265798340189.57587,spring
5209,72936536490.3414,-235879835823789.06,265798340189.57587,712026877.912505,960760751856.9471,52515454098.78178,3751930012715.336,8056264.310148153,365023129.7448861,0.0,5.026103838366307e+16,13770151372.816797,46162580645.16124,7158676989247.309,1664516129.032258,84335483870.96774,1995-04-07,285062289721.358,spring
5210,269600197590.97125,236780231433729.5,0.0,2394341341.9652996,1017957269928.2666,47113877583.53814,3554421919151.723,7968052.263423053,368108616.0387735,285062289721.358,5.026102425337501e+16,13770147502.373444,168449032258.06454,6803210322580.6455,6103225806.451613,79896774193.54839,1995-04-08,273282830567.31952,spring
5211,268927948057.4644,0.0,273282830567.31952,762694177.0817851,976154973472.244,170182196765.4258,3554282163639.537,7879905.621923731,369774278.52022856,0.0,5.0261010121337e+16,13770143631.061646,166821505376.3439,6812531612903.228,6103225806.451613,79896774193.54839,1995-04-09,241710357983.50665,spring
5212,268445474722.72464,0.0,241710357983.50665,791404605.8690729,857832286505.7511,278875731599.94104,3554051780591.6606,7879639.173330057,372149809.1889649,0.0,5.026099598692707e+16,13770139759.270412,158683870967.74194,6807205161290.322,6103225806.451613,79896774193.54839,1995-04-10,259638717835.0592,spring
5213,145670391949.28033,-146703310412578.44,0.0,813943293.9700911,916113061740.6772,10332497215.469652,3676066089586.629,7879217.9235836575,376009257.8378432,259638717835.0592,5.0260981848661144e+16,13770135886.829334,89218064516.12903,7068367741935.484,3329032258.064516,82670967741.93549,1995-04-11,249719237270.732,spring
5214,268452566713.2198,147946036568545.88,0.0,1655806873.7471607,893597102305.6554,201472330980.9264,3552541780060.861,7794048.211763699,378726583.87291634,249719237270.732,5.026096770759659e+16,13770132013.33182,159090752688.17194,6839163870967.741,6103225806.451613,79896774193.54839,1995-04-12,241168685173.9395,spring
5215,268090961318.51144,0.0,0.0,820312090.6721663,883663193293.3153,450079803504.8007,3552168754979.684,7710050.971273248,380484847.38912266,241168685173.9395,5.0260953564693656e+16,13770128139.06756,157870107526.88196,6855143225806.451,6103225806.451613,79896774193.54839,1995-04-13,245566943334.0586,spring
5216,171086848392.19037,-117074629191179.36,245566943334.0586,839827675.3342359,916720062263.1057,1496734954377.0293,3648410717332.2183,7709765.313473194,382259429.0791668,0.0,5.026093942001973e+16,13770124264.299633,100980645161.29031,7061987096774.194,3883870967.7419353,82116129032.25807,1995-04-14,222483242061.7972,spring
5217,220705271839.5167,59138750235169.17,0.0,1316612096.327314,851082694628.3219,1228285147025.406,3598085552871.416,7391521.733552741,384050557.16957045,222483242061.7972,5.0260925273240296e+16,13770120389.046501,125587741935.48386,6966554838709.678,4993548387.096774,81006451612.90323,1995-04-15,182223799668.157,spring
5218,220269213018.06485,0.0,0.0,1017740194.4268961,713746967676.6497,190491859375.57047,3597928763971.1333,7314944.11970359,382810328.45765984,182223799668.157,5.02609111276284e+16,13770116513.21652,123840000000.0,6966554838709.678,4993548387.096774,81006451612.90323,1995-04-16,159007228541.89273,spring
5219,1599796725359.9272,1655497232107710.2,0.0,1002506182.3639152,634947443220.8718,35202307554.049416,2217873951539.8867,7242122.075531559,381578142.2012697,159007228541.89273,5.0260896983179736e+16,13770112637.706413,867351612903.2258,4264490322580.6455,36064516129.03226,49935483870.96774,1995-04-17,143848292557.19714,spring
5220,344077696221.4525,-1506141565077596.5,71924146278.59857,950915300.8521059,589464706887.4199,0.0,3473104482813.935,261779792.7101616,380353920.4264965,71924146278.59857,5.026088309449685e+16,13770108762.514996,190309677419.35483,6676862451612.902,7767741935.4838705,78232258064.51613,1995-04-18,164817984410.41702,spring
5221,1600161743582.8535,1507198403517636.8,164817984410.41702,677143247.3621496,689706848918.8035,516955299503.7758,2216446897355.841,7096956.321060502,379142100.95039326,0.0,5.0260868952346744e+16,13770104957.396397,838500000000.0,4279470967741.936,36064516129.03226,49935483870.96774,1995-04-19,168093329930.09177,spring
5222,1599911453939.1333,0.0,84046664965.04588,965755446.4322807,720684774333.8177,0.0,2216096582406.5654,261639891.4543439,377933563.828662,84046664965.04588,5.026085603170744e+16,13770101082.834724,834893548387.0967,4247012903225.806,36064516129.03226,49935483870.96774,1995-04-20,176321498063.50586,spring
5223,1599615443570.8235,0.0,88160749031.75293,975140010.1765254,773597596414.3774,0.0,2215747845472.511,261628878.31063312,376732772.470375,88160749031.75293,5.026084312164601e+16,13770097542.933546,831287096774.1936,4234529032258.065,36064516129.03226,49935483870.96774,1995-04-21,157395565837.91193,spring
5224,1599400467603.3967,0.0,78697782918.95596,984171121.8187345,707098780340.7178,0.0,2215373470624.131,261602255.9881793,375544113.7287442,78697782918.95596,5.026083022178126e+16,13770094005.930414,818664516129.0322,4299445161290.322,36064516129.03226,49935483870.96774,1995-04-22,195148233142.05273,spring
5225,1598994049220.2344,0.0,97574116571.02637,990742000.6065394,898257323927.2943,0.0,2215031275468.1045,261571743.2047804,374358560.3012361,97574116571.02637,5.0260817329645976e+16,13770090471.720896,791616129032.258,4264490322580.6455,36064516129.03226,49935483870.96774,1995-04-23,207790795269.62488,spring
5226,1598611641801.2595,0.0,103895397634.81244,996109972.4543897,980459415891.152,0.0,2214596599004.848,261546735.16404966,373184966.18634665,103895397634.81244,5.026080444403078e+16,13770086939.629034,778993548387.0968,4271980645161.29,36064516129.03226,49935483870.96774,1995-04-24,203402289073.80148,spring
5227,1598265659994.9338,0.0,101701144536.90074,999470276.9032941,984488858630.6733,0.0,2214122161379.7964,261511725.59473172,372014362.25338185,101701144536.90074,5.026079156291502e+16,13770083409.323503,776288709677.4193,4298196774193.549,36064516129.03226,49935483870.96774,1995-04-25,213366222884.01648,spring
5228,1597881613614.473,0.0,106683111442.00824,1002140855.516609,1032537393689.503,0.0,2213645791064.468,261470372.46939635,371436204.1175364,106683111442.00824,5.026077868501017e+16,13770079880.250692,750141935483.871,4286961290322.5806,36064516129.03226,49935483870.96774,1995-04-26,207095260967.7538,spring
5229,1597546268052.8157,0.0,103547630483.8769,1004674477.2125235,1001996662110.9302,0.0,2213146192527.2275,261429243.29523113,370859867.5897158,103547630483.8769,5.026076581017767e+16,13770076352.05758,750141935483.871,4234529032258.065,36064516129.03226,49935483870.96774,1995-04-27,206882630996.91617,spring
5230,1597197154288.876,0.0,103441315498.45808,1007380011.4570469,1000802695969.0283,0.0,2212661386032.6523,261386667.3039474,370285344.074492,103441315498.45808,5.026075293858618e+16,13770072824.706213,735716129032.2579,4219548387096.7744,36064516129.03226,49935483870.96774,1995-04-28,203484468539.6425,spring
5231,97466343636.8398,-1799164889478210.2,101742234269.82124,1009631333.9144435,984193190426.7046,0.0,3711575062260.242,261344245.45434272,369712625.032683,101742234269.82124,5.0260739060148504e+16,13770069298.242788,44498064516.12903,7251214838709.678,2219354838.709677,83780645161.29033,1995-04-29,200567315117.6262,spring
5232,268789490761.25952,206528760241157.6,200567315117.6262,2535682521.4362836,962819470775.7141,78165505031.3747,3539451508260.051,6577638.553688762,369141694.55879855,0.0,5.026072492751895e+16,13770065495.931097,118402580645.16129,6887101935483.871,6103225806.451613,79896774193.54839,1995-04-30,201071035281.1419,spring
5233,72500537619.11539,-234863056625507.9,201071035281.1419,823728135.2983387,968015236445.4927,1359037243.5957735,3734935890604.345,6574559.773233931,368572549.7727863,0.0,5.0260710795459336e+16,13770061623.977797,31958709677.419357,7151649032258.064,1664516129.032258,84335483870.96774,1995-05-01,199094811024.8289,spring
5234,47560465614.536,-29102412447503.133,199094811024.8289,2701282257.9620204,950160320472.0645,19228576085.567978,3759087940017.603,6576927.83965824,368000803.8628365,0.0,5.026069666397771e+16,13770057752.18064,20584516129.032257,7355746451612.903,1109677419.3548386,84890322580.64516,1995-05-02,232243641472.856,spring
5235,267788233231.38797,265439147169421.1,232243641472.856,6121508913.655908,1094372465507.8464,12868996746.35695,3537955518851.3213,6517809.008653125,367435215.8419563,0.0,5.0260682533006424e+16,13770053880.54184,108637419354.83871,6915065806451.612,6103225806.451613,79896774193.54839,1995-05-03,251869973364.26608,spring
5236,266782407141.2461,0.0,251869973364.26608,910527473.0312121,1209262086504.9578,1059234804.6365465,3537957025872.249,6513491.931428202,366867023.56550056,0.0,5.026066840260288e+16,13770050009.042856,104975483870.96774,6911070967741.936,6103225806.451613,79896774193.54839,1995-05-04,273592574047.06943,spring
5237,265694021412.4537,0.0,273592574047.06943,948448941.5518097,1309650965390.984,1177275329.846348,3537958495349.18,6513530.361023446,366304959.11768,0.0,5.026065427276531e+16,13770046137.699419,102127311827.9568,6911070967741.936,6103225806.451613,79896774193.54839,1995-05-05,286954393349.57947,spring
5238,264556831396.53223,0.0,286954393349.57947,987698461.1446934,1369181052664.71,853791692.0494876,3537960297298.206,6513568.667106354,367288651.823889,0.0,5.026064014194797e+16,13770042266.511045,99279139784.94646,6911070967741.936,6103225806.451613,79896774193.54839,1995-05-06,286370472041.4995,spring
5239,95071740434.54272,-202986393893663.3,286370472041.4995,1027782608.4265673,1361774134693.5032,60472859.46360517,3706317168187.888,6513645.636918822,368277619.0598223,0.0,5.026062601014561e+16,13770038395.05424,34843870967.74193,7242836774193.549,2219354838.709677,83780645161.29033,1995-05-07,284855552740.5262,spring
5240,93961456686.56737,0.0,0.0,4868493724.916648,1342000275437.8582,792624668.587808,3706318294367.603,6512044.054631872,369274101.07270646,284855552740.5262,5.026061187734903e+16,13770034523.327564,34030107526.881645,7249818494623.652,2219354838.709677,83780645161.29033,1995-05-08,306798815378.55133,spring
5241,92779449567.67229,0.0,0.0,5234512828.39746,1428447953246.6536,659973144.3004712,3706319605189.52,6512467.401341879,370275955.0586324,306798815378.55133,5.02605977435549e+16,13770030651.328503,33438279569.892544,7254007526881.722,2219354838.709677,83780645161.29033,1995-05-09,319164620964.86945,spring
5242,91548921823.85551,0.0,0.0,5812510006.997213,1486581415099.0906,325200770.16034484,3706321305775.056,6512999.794118594,371281014.9061381,319164620964.86945,5.0260583608760104e+16,13770026779.056135,32402580645.161285,7259592903225.808,2219354838.709677,83780645161.29033,1995-05-10,325993309540.47394,spring
