,PGRNNe,Time
493,10.036935,1982-08-17
494,9.87884,1982-08-18
495,9.858357,1982-08-19
496,10.221109,1982-08-20
497,10.200333,1982-08-21
498,10.172528,1982-08-22
499,10.220321,1982-08-23
500,10.301526,1982-08-24
501,10.26192,1982-08-25
502,10.282843,1982-08-26
503,10.263454,1982-08-27
504,10.385318,1982-08-28
505,9.865707,1982-08-29
506,9.43996,1982-08-30
507,9.316564,1982-08-31
508,9.164347,1982-09-01
509,8.954583,1982-09-02
510,9.004301,1982-09-03
511,8.972072,1982-09-04
512,9.126432,1982-09-05
513,9.436603,1982-09-06
514,9.384025,1982-09-07
515,9.292314,1982-09-08
516,9.286603,1982-09-09
517,9.317158,1982-09-10
518,9.4463625,1982-09-11
519,9.635114,1982-09-12
520,9.72092,1982-09-13
521,9.7484,1982-09-14
522,9.806079,1982-09-15
523,9.839552,1982-09-16
524,9.963787,1982-09-17
525,10.126893,1982-09-18
526,10.395959,1982-09-19
527,10.596867,1982-09-20
528,10.722637,1982-09-21
529,10.958859,1982-09-22
530,11.153239,1982-09-23
531,11.670281,1982-09-24
532,11.962339,1982-09-25
533,12.487761,1982-09-26
534,12.454536,1982-09-27
535,12.353278,1982-09-28
536,12.313721,1982-09-29
537,12.627179,1982-09-30
538,12.717381,1982-10-01
539,13.0017605,1982-10-02
540,13.29681,1982-10-03
541,13.665439,1982-10-04
542,14.021781,1982-10-05
543,14.578234,1982-10-06
544,15.066897,1982-10-07
545,15.642048,1982-10-08
546,15.997111,1982-10-09
547,16.25978,1982-10-10
548,16.856232,1982-10-11
549,17.231176,1982-10-12
550,18.394009,1982-10-13
551,19.298834,1982-10-14
552,19.28044,1982-10-15
553,19.355747,1982-10-16
554,19.787226,1982-10-17
555,20.46371,1982-10-18
556,20.900574,1982-10-19
557,21.378164,1982-10-20
558,22.042484,1982-10-21
559,22.741928,1982-10-22
560,23.643026,1982-10-23
561,24.660688,1982-10-24
562,25.463257,1982-10-25
563,26.084322,1982-10-26
564,26.651144,1982-10-27
565,27.21676,1982-10-28
566,27.804703,1982-10-29
567,28.429295,1982-10-30
568,29.182682,1982-10-31
569,29.87285,1982-11-01
570,30.636227,1982-11-02
571,31.26486,1982-11-03
572,31.92485,1982-11-04
573,32.476845,1982-11-05
574,33.023087,1982-11-06
575,33.681797,1982-11-07
576,34.78211,1982-11-08
577,35.282158,1982-11-09
578,35.52233,1982-11-10
579,35.812145,1982-11-11
580,36.279068,1982-11-12
581,37.043007,1982-11-13
582,37.53149,1982-11-14
583,37.84077,1982-11-15
584,38.10787,1982-11-16
585,38.62186,1982-11-17
586,39.147835,1982-11-18
587,39.46317,1982-11-19
588,39.70161,1982-11-20
589,40.044907,1982-11-21
590,40.403053,1982-11-22
591,40.859734,1982-11-23
592,41.699398,1982-11-24
593,41.952667,1982-11-25
594,42.51337,1982-11-26
595,43.1263,1982-11-27
596,43.97483,1982-11-28
597,46.884197,1982-11-29
598,47.587467,1982-11-30
599,47.809895,1982-12-01
600,47.870014,1982-12-02
601,47.907658,1982-12-03
602,48.098293,1982-12-04
603,48.389343,1982-12-05
604,48.847885,1982-12-06
605,49.296997,1982-12-07
606,49.59727,1982-12-08
607,50.016663,1982-12-09
608,51.975323,1982-12-10
609,52.19049,1982-12-11
610,52.901096,1982-12-12
611,52.99983,1982-12-13
612,52.948555,1982-12-14
613,53.324673,1982-12-15
614,53.865383,1982-12-16
615,54.79709,1982-12-17
616,54.75774,1982-12-18
617,54.705303,1982-12-19
618,55.727974,1982-12-20
619,55.914234,1982-12-21
620,55.790783,1982-12-22
621,57.816868,1982-12-23
