,EpiP[ug],EntrP[ug],IepiP,SedPepi[ug],Ep[ug],Hvd,HypP[ug],SedPhyp[ug],Rp[ug],IsedP[ug],Psed[ug],Bp[ug],PEPItrue[ug],HYPtrue[ug],EpiV[L],HypV[L],Time,Season,PLoad
8200,22337830480591.57,0.0,0.0,79178424752.0444,805316516056.167,4985760.193847763,3134713665031945.0,4872726.681843079,149812994.88662648,96123401459.63618,5.021936909739341e+16,13758735068.785957,14092903225806.45,4741124516129032.0,1109677419354.8386,84890322580645.16,2003-06-15,spring,99195689774.84782
8201,21456201014262.863,0.0,0.0,82230960042.31987,799402780699.5107,4274413.125413322,3134895233958499.0,4872999.410961417,151424148.93005556,99195689774.84782,5.0219355192111e+16,13758731259.559837,14758709677419.354,4758102580645161.0,1109677419354.8386,84890322580645.16,2003-06-16,spring,96340701454.76898
8202,20636296051784.656,0.0,0.0,74178008661.58513,745752117923.2842,25164106.664697494,3135065875700631.5,4873281.664898042,153069403.9378553,96340701454.76898,5.021934128518743e+16,13758727449.893427,15424516129032.258,4775080645161290.0,1109677419354.8386,84890322580645.16,2003-06-17,spring,93952613624.95644
8203,19860269143708.27,0.0,0.0,76568454430.77625,699475452417.6143,16998772.005529955,3135236529598920.0,4921799.87214615,154750804.6813962,93952613624.95644,5.021932737663478e+16,13758723639.777378,16090322580645.16,4792058709677419.0,1109677419354.8386,84890322580645.16,2003-06-18,spring,97356971223.02606
8204,19087989911715.105,0.0,0.0,74758482892.56827,697563979049.879,43229949.28258033,3135408750951550.5,4922067.784964598,154050532.38451862,97356971223.02606,5.021931346878648e+16,13758719829.215012,16756129032258.062,4809036774193549.0,1109677419354.8386,84890322580645.16,2003-06-19,spring,84180786163.3017
8205,18432845454018.35,0.0,0.0,75475246275.03065,579702316991.4825,33105569.763574034,3135568521788307.5,4874079.941318811,152783968.3562221,84180786163.3017,5.021929956216058e+16,13758716018.845612,17421935483870.965,4826014838709678.0,1109677419354.8386,84890322580645.16,2003-06-20,spring,80041007687.8497
8206,17827926185069.82,0.0,0.0,72647386497.36255,532275886047.83655,4003596.668341941,3135721353434177.5,4874385.340932037,152129666.3117512,80041007687.8497,5.021928565619309e+16,13758712208.811117,18087741935483.87,4842992903225806.0,1109677419354.8386,84890322580645.16,2003-06-21,summer,78418519042.21307
8207,17244315761656.943,0.0,0.0,79255487954.12946,504372414276.5801,17478817.830725037,3135879158719058.5,4874622.924747884,153631326.24192405,78418519042.21307,5.021927174872798e+16,13758708398.95701,18753548387096.77,4849359677419354.0,1109677419354.8386,84890322580645.16,2003-06-22,summer,70185461502.64082
8208,16726562918677.996,0.0,0.0,81120592767.93701,436641478306.1548,9228095.144244324,3136030602993726.0,4923134.262495434,152371626.5987608,70185461502.64082,5.0219257842574904e+16,13758704588.6926,19419354838709.68,4849359677419354.0,1109677419354.8386,84890322580645.16,2003-06-23,summer,76368552342.83661
8209,16180255641040.355,0.0,0.0,85673175815.4758,460843141750.3509,209039928.186715,3136192581890116.0,4923372.020540223,151131531.26046747,76368552342.83661,5.0219243937665976e+16,13758700778.787645,19641290322580.645,4849359677419354.0,1109677419354.8386,84890322580645.16,2003-06-24,summer,80735675261.77908
8210,15616902289665.555,0.0,0.0,92093949852.83604,471284029621.47626,24628099.511617474,3136365533164911.0,4923626.317282623,151201405.88183406,80735675261.77908,5.0219230032691224e+16,13758696969.223557,19715268817204.28,4849359677419354.0,1109677419354.8386,84890322580645.16,2003-06-25,summer,75417558000.38829
